Filename,Title,Start Page (Bookmark),End Page (Bookmark),Arranger,Genres,Tags,Books,Reference,Rating,Difficulty,Minutes,Seconds,keysf,keymi
000_2021-Setlist.pdf,000_2021-Setlist,,,,,,,,0,0,,,,
000_SETLIST_2022.pdf,000_SETLIST_2022,,,,,,,,0,0,,,,
1 Black Bear Tune List.pdf,1 Black Bear Tune List,,,,,,,,0,0,,,,
1 Family & Friends Tune List - 11-15.pdf,1 Family & Friends Tune List - 11-15,,,,,,,,0,0,,,,
1 Family & Friends Tune List - 11-29.pdf,1 Family & Friends Tune List - 11-29,,,,,,,,0,0,,,,
01_Fingering_XString-scale-exercise.pdf,01_Fingering_XString-scale-exercise,,,,,,,,0,0,,,,
02_Fingering_Slip-n-slide.pdf,02_Fingering_Slip-n-slide,,,,,,,,0,0,,,,
03_Fingering_Neighbors_Ex-1.pdf,03_Fingering_Neighbors_Ex-1,,,,,,,,0,0,,,,
03_Fingering_Neighbors_Ex-2a.pdf,03_Fingering_Neighbors_Ex-2a,,,,,,,,0,0,,,,
03_Fingering_Neighbors_Ex-2b.pdf,03_Fingering_Neighbors_Ex-2b,,,,,,,,0,0,,,,
03_Fingering_Neighbors_Ex-3.pdf,03_Fingering_Neighbors_Ex-3,,,,,,,,0,0,,,,
03_Fingering_Neighbors_Ex-4.pdf,03_Fingering_Neighbors_Ex-4,,,,,,,,0,0,,,,
03_Fingering_Neighbors_Ex-5.pdf,03_Fingering_Neighbors_Ex-5,,,,,,,,0,0,,,,
04_Fingering_Spider_Ex-1.pdf,04_Fingering_Spider_Ex-1,,,,,,,,0,0,,,,
04_Fingering_Spider_Ex-2.pdf,04_Fingering_Spider_Ex-2,,,,,,,,0,0,,,,
04_Fingering_Spider_Ex-3.pdf,04_Fingering_Spider_Ex-3,,,,,,,,0,0,,,,
04_Fingering_Spider_Ex-4.pdf,04_Fingering_Spider_Ex-4,,,,,,,,0,0,,,,
11_Chording_Transitions_Ex-1-a.pdf,11_Chording_Transitions_Ex-1-a,,,,,,,,0,0,,,,
11_Chording_Transitions_Ex-1-b.pdf,11_Chording_Transitions_Ex-1-b,,,,,,,,0,0,,,,
11_Chording_Transitions_Ex-2.pdf,11_Chording_Transitions_Ex-2,,,,,,,,0,0,,,,
11_Chording_Transitions_Ex-3_L-shaped.pdf,11_Chording_Transitions_Ex-3_L-shaped,,,,,,,,0,0,,,,
11_Chording_Transitions_Ex-4_Slant-lament.pdf,11_Chording_Transitions_Ex-4_Slant-lament,,,,,,,,0,0,,,,
12_Chording_BLASE-chords.pdf,12_Chording_BLASE-chords,,,,,,,,0,0,,,,
020_REF_Base_Chords.pdf,020_REF_Base_Chords,,,,,,,,0,0,,,,
020_REF_BLASE-chords.pdf,020_REF_BLASE-chords,,,,,,,,0,0,,,,
020_REF_Chords_SMN.pdf,020_REF_Chords_SMN,,,Jeff Rocchio,,,,,0,0,,,,
21a_Strumming_Ex-101.pdf,21a_Strumming_Ex-101,,,,,,,,0,0,,,,
21b_Strumming-and-Rhythm.pdf,21b_Strumming-and-Rhythm,,,,,,,,0,0,,,,
21c_Strumming_Waltz.pdf,21c_Strumming_Waltz,,,,,,,,0,0,,,,
022 REF Circle-of-5ths_All-diagrams.pdf,022 REF Circle-of-5ths_All-diagrams,,,Musical U and Jeff R,,,,,0,0,,,,
025 REF Mels Big Chord Reference Sheet 2.pdf,025 REF Mels Big Chord Reference Sheet,,,Melanie Johnston,,,,,0,0,,,,
